session_id,layout_id,layout_repeat,layout,seed,seat,agent,model_id,strategy_id,strategy_label,prompt_sha256,factorial_block_id,profit,ruin,win_rate,total_hands,hands_survived,session_completed,early_exit_rate,showdown_frequency
0,0,0,qwen3-coder-30b-a3b-instruct > qwen3-coder-480b-a35b-instruct > qwen3.5-122b-a10b > qwen3.5-397b-a17b,310387934,0,qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct,,,,,-902.0,0,0.0,2,2.0,1,0.0,0.0
0,0,0,qwen3-coder-30b-a3b-instruct > qwen3-coder-480b-a35b-instruct > qwen3.5-122b-a10b > qwen3.5-397b-a17b,310387934,1,qwen3-coder-480b-a35b-instruct,qwen3-coder-480b-a35b-instruct,,,,,-594.0,0,0.0,2,2.0,1,0.0,0.0
0,0,0,qwen3-coder-30b-a3b-instruct > qwen3-coder-480b-a35b-instruct > qwen3.5-122b-a10b > qwen3.5-397b-a17b,310387934,2,qwen3.5-122b-a10b,qwen3.5-122b-a10b,,,,,-302.0,0,0.5,2,2.0,1,0.0,0.0
0,0,0,qwen3-coder-30b-a3b-instruct > qwen3-coder-480b-a35b-instruct > qwen3.5-122b-a10b > qwen3.5-397b-a17b,310387934,3,qwen3.5-397b-a17b,qwen3.5-397b-a17b,,,,,1798.0,0,0.5,2,2.0,1,0.0,0.0
1,1,1,qwen3-coder-30b-a3b-instruct > qwen3-coder-480b-a35b-instruct > qwen3.5-122b-a10b > qwen3.5-397b-a17b,1082648106,0,qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct,,,,,-700.0,0,0.0,2,2.0,1,0.0,0.0
1,1,1,qwen3-coder-30b-a3b-instruct > qwen3-coder-480b-a35b-instruct > qwen3.5-122b-a10b > qwen3.5-397b-a17b,1082648106,1,qwen3-coder-480b-a35b-instruct,qwen3-coder-480b-a35b-instruct,,,,,-300.0,0,0.0,2,2.0,1,0.0,0.0
1,1,1,qwen3-coder-30b-a3b-instruct > qwen3-coder-480b-a35b-instruct > qwen3.5-122b-a10b > qwen3.5-397b-a17b,1082648106,2,qwen3.5-122b-a10b,qwen3.5-122b-a10b,,,,,1400.0,0,1.0,2,2.0,1,0.0,0.0
1,1,1,qwen3-coder-30b-a3b-instruct > qwen3-coder-480b-a35b-instruct > qwen3.5-122b-a10b > qwen3.5-397b-a17b,1082648106,3,qwen3.5-397b-a17b,qwen3.5-397b-a17b,,,,,-400.0,0,0.0,2,2.0,1,0.0,0.0
2,2,0,qwen3-coder-30b-a3b-instruct > qwen3-coder-480b-a35b-instruct > qwen3.5-397b-a17b > qwen3.5-122b-a10b,443420472,0,qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct,,,,,-600.0,0,0.0,2,2.0,1,0.0,0.0
2,2,0,qwen3-coder-30b-a3b-instruct > qwen3-coder-480b-a35b-instruct > qwen3.5-397b-a17b > qwen3.5-122b-a10b,443420472,1,qwen3-coder-480b-a35b-instruct,qwen3-coder-480b-a35b-instruct,,,,,1300.0,0,0.5,2,2.0,1,0.0,0.0
2,2,0,qwen3-coder-30b-a3b-instruct > qwen3-coder-480b-a35b-instruct > qwen3.5-397b-a17b > qwen3.5-122b-a10b,443420472,2,qwen3.5-397b-a17b,qwen3.5-397b-a17b,,,,,300.0,0,0.5,2,2.0,1,0.0,0.0
2,2,0,qwen3-coder-30b-a3b-instruct > qwen3-coder-480b-a35b-instruct > qwen3.5-397b-a17b > qwen3.5-122b-a10b,443420472,3,qwen3.5-122b-a10b,qwen3.5-122b-a10b,,,,,-1000.0,0,0.0,2,2.0,1,0.0,0.0
3,3,1,qwen3-coder-30b-a3b-instruct > qwen3-coder-480b-a35b-instruct > qwen3.5-397b-a17b > qwen3.5-122b-a10b,519757770,0,qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct,,,,,-300.0,0,0.0,2,2.0,1,0.0,0.0
3,3,1,qwen3-coder-30b-a3b-instruct > qwen3-coder-480b-a35b-instruct > qwen3.5-397b-a17b > qwen3.5-122b-a10b,519757770,1,qwen3-coder-480b-a35b-instruct,qwen3-coder-480b-a35b-instruct,,,,,500.0,0,0.5,2,2.0,1,0.0,0.0
3,3,1,qwen3-coder-30b-a3b-instruct > qwen3-coder-480b-a35b-instruct > qwen3.5-397b-a17b > qwen3.5-122b-a10b,519757770,2,qwen3.5-397b-a17b,qwen3.5-397b-a17b,,,,,-1400.0,0,0.0,2,2.0,1,0.0,0.0
