session_id,layout_id,layout_repeat,layout,seed,seat,agent,model_id,strategy_id,strategy_label,prompt_sha256,factorial_block_id,profit,ruin,win_rate,total_hands,hands_survived,session_completed,early_exit_rate,showdown_frequency
0,0,0,mistralai/mistral-small-4-119b-2603 > nvidia/nemotron-3-super-120b-a12b > qwen/qwen3.5-122b-a10b > stockmark/stockmark-2-100b-instruct,100864515,0,mistralai__mistral-small-4-119b-2603,mistralai__mistral-small-4-119b-2603,,,,,1598.0,0,1.0,1,1.0,1,0.0,0.0
0,0,0,mistralai/mistral-small-4-119b-2603 > nvidia/nemotron-3-super-120b-a12b > qwen/qwen3.5-122b-a10b > stockmark/stockmark-2-100b-instruct,100864515,1,nvidia__nemotron-3-super-120b-a12b,nvidia__nemotron-3-super-120b-a12b,,,,,-802.0,0,0.0,1,1.0,1,0.0,0.0
0,0,0,mistralai/mistral-small-4-119b-2603 > nvidia/nemotron-3-super-120b-a12b > qwen/qwen3.5-122b-a10b > stockmark/stockmark-2-100b-instruct,100864515,2,qwen__qwen3.5-122b-a10b,qwen__qwen3.5-122b-a10b,,,,,-802.0,0,0.0,1,1.0,1,0.0,0.0
0,0,0,mistralai/mistral-small-4-119b-2603 > nvidia/nemotron-3-super-120b-a12b > qwen/qwen3.5-122b-a10b > stockmark/stockmark-2-100b-instruct,100864515,3,stockmark__stockmark-2-100b-instruct,stockmark__stockmark-2-100b-instruct,,,,,6.0,0,0.0,1,1.0,1,0.0,0.0
1,1,0,mistralai/mistral-small-4-119b-2603 > nvidia/nemotron-3-super-120b-a12b > stockmark/stockmark-2-100b-instruct > qwen/qwen3.5-122b-a10b,1466961175,0,mistralai__mistral-small-4-119b-2603,mistralai__mistral-small-4-119b-2603,,,,,-1000.0,0,0.0,1,1.0,1,0.0,0.0
1,1,0,mistralai/mistral-small-4-119b-2603 > nvidia/nemotron-3-super-120b-a12b > stockmark/stockmark-2-100b-instruct > qwen/qwen3.5-122b-a10b,1466961175,1,nvidia__nemotron-3-super-120b-a12b,nvidia__nemotron-3-super-120b-a12b,,,,,-1000.0,0,0.0,1,1.0,1,0.0,0.0
1,1,0,mistralai/mistral-small-4-119b-2603 > nvidia/nemotron-3-super-120b-a12b > stockmark/stockmark-2-100b-instruct > qwen/qwen3.5-122b-a10b,1466961175,2,stockmark__stockmark-2-100b-instruct,stockmark__stockmark-2-100b-instruct,,,,,0.0,0,0.0,1,1.0,1,0.0,0.0
1,1,0,mistralai/mistral-small-4-119b-2603 > nvidia/nemotron-3-super-120b-a12b > stockmark/stockmark-2-100b-instruct > qwen/qwen3.5-122b-a10b,1466961175,3,qwen__qwen3.5-122b-a10b,qwen__qwen3.5-122b-a10b,,,,,2000.0,0,1.0,1,1.0,1,0.0,0.0
2,2,0,mistralai/mistral-small-4-119b-2603 > qwen/qwen3.5-122b-a10b > nvidia/nemotron-3-super-120b-a12b > stockmark/stockmark-2-100b-instruct,1432699275,0,mistralai__mistral-small-4-119b-2603,mistralai__mistral-small-4-119b-2603,,,,,1798.0,0,1.0,1,1.0,1,0.0,0.0
2,2,0,mistralai/mistral-small-4-119b-2603 > qwen/qwen3.5-122b-a10b > nvidia/nemotron-3-super-120b-a12b > stockmark/stockmark-2-100b-instruct,1432699275,1,qwen__qwen3.5-122b-a10b,qwen__qwen3.5-122b-a10b,,,,,-902.0,0,0.0,1,1.0,1,0.0,0.0
