session_id,layout_id,layout_repeat,layout,seed,seat,agent,model_id,strategy_id,strategy_label,prompt_sha256,factorial_block_id,profit,ruin,win_rate,total_hands,hands_survived,session_completed,early_exit_rate,showdown_frequency
0,0,0,qwen3-1.7b > qwen3-14b > qwen3-4b > qwen3-8b,1846615305,0,qwen3-1.7b,qwen3-1.7b,,,,,3.0,0,0.0,1,1.0,1,0.0,0.0
0,0,0,qwen3-1.7b > qwen3-14b > qwen3-4b > qwen3-8b,1846615305,1,qwen3-14b,qwen3-14b,,,,,-401.0,0,0.0,1,1.0,1,0.0,0.0
0,0,0,qwen3-1.7b > qwen3-14b > qwen3-4b > qwen3-8b,1846615305,2,qwen3-4b,qwen3-4b,,,,,-401.0,0,0.0,1,1.0,1,0.0,0.0
0,0,0,qwen3-1.7b > qwen3-14b > qwen3-4b > qwen3-8b,1846615305,3,qwen3-8b,qwen3-8b,,,,,799.0,0,1.0,1,1.0,1,0.0,0.0
1,1,0,qwen3-1.7b > qwen3-14b > qwen3-8b > qwen3-4b,695548841,0,qwen3-1.7b,qwen3-1.7b,,,,,-600.0,0,0.0,1,1.0,1,0.0,0.0
1,1,0,qwen3-1.7b > qwen3-14b > qwen3-8b > qwen3-4b,695548841,1,qwen3-14b,qwen3-14b,,,,,1200.0,0,1.0,1,1.0,1,0.0,0.0
1,1,0,qwen3-1.7b > qwen3-14b > qwen3-8b > qwen3-4b,695548841,2,qwen3-8b,qwen3-8b,,,,,-600.0,0,0.0,1,1.0,1,0.0,0.0
1,1,0,qwen3-1.7b > qwen3-14b > qwen3-8b > qwen3-4b,695548841,3,qwen3-4b,qwen3-4b,,,,,0.0,0,0.0,1,1.0,1,0.0,0.0
2,2,0,qwen3-1.7b > qwen3-4b > qwen3-14b > qwen3-8b,925112113,0,qwen3-1.7b,qwen3-1.7b,,,,,-804.0,0,0.0,1,1.0,1,0.0,0.0
2,2,0,qwen3-1.7b > qwen3-4b > qwen3-14b > qwen3-8b,925112113,1,qwen3-4b,qwen3-4b,,,,,-804.0,0,0.0,1,1.0,1,0.0,0.0
2,2,0,qwen3-1.7b > qwen3-4b > qwen3-14b > qwen3-8b,925112113,2,qwen3-14b,qwen3-14b,,,,,1596.0,0,1.0,1,1.0,1,0.0,0.0
2,2,0,qwen3-1.7b > qwen3-4b > qwen3-14b > qwen3-8b,925112113,3,qwen3-8b,qwen3-8b,,,,,12.0,0,0.0,1,1.0,1,0.0,0.0
